af     Afrikaans
ar     Arabic
sq     Albanian
hy     Armenian
bn     Bengali
bs     Bosnian
bg     Bulgarian
my     Burmese
ca     Catalan
zh     Chinese
hr     Croatian
da     Danish
nl     Dutch
en-au     English Australian
en-gb     English British
en-us     English US
en-ca     English Canada
eo     Esperanto
et     Estonian
fi     Finish
fr     French
fr-ca     French Canadian
gd     Gaelic
ka     GEorgian
de     German
de-ch     GErman Swiss
de-at     German Austrian
el     Greek
gu     Gujurati
he     Hebrew
hi     Hindi
is     Icelandic
id     Indonesian
ira     Iranian
ga     Irish
it     Italian
jp     Japanese
jv     Javanese
ko     Korean
la     Latin
lv     Latvian
lt     Lithuanian
lb     Luxemnbourgish
mk     Macedonian
ml     Malayalam
mt     Maltese
mo     Moldovian
no     Norwegian
pa     Panjabi
pt     Portuguese
ro     Romanian
sr     Serbian
sk     Slovak
sl     Slovenian
es     Spanish
su     Sudanese
sw     Swahili
sv     Swedish
th     Thais
tr     Turkish
ur     Urdu
vi     Vietnamese
wa     Walloon
cy     Welsh
zu     Zulu
